gene_symbol	ensp_id	proximity	sn_tpm
NCBP1	9606.ENSP00000364289	1.0111223458038423	7.02857
EIF5	9606.ENSP00000216554	1.0111223458038423	49.9336
EIF3A	9606.ENSP00000358140	1.0121457489878543	32.6082
CLTCL1	9606.ENSP00000441158	1.0121457489878543	3.91232
EIF4E3	9606.ENSP00000393324	1.0121457489878543	7.17416
PHB2	9606.ENSP00000441875	1.0121457489878543	58.2699
EIF1	9606.ENSP00000419449	1.0131712259371835	295.173
WLS	9606.ENSP00000346829	1.0131712259371835	25.1462
MAPRE1	9606.ENSP00000364721	1.0131712259371835	55.5962
EIF4G2	9606.ENSP00000433664	1.0131712259371835	147.863
GSK3B	9606.ENSP00000324806	1.0131712259371835	9.60904
SH3GL2	9606.ENSP00000369981	1.0131712259371835	23.5702
HNRNPK	9606.ENSP00000365439	1.0141987829614605	127.783
EIF5B	9606.ENSP00000289371	1.0141987829614605	58.4404
NCBP2	9606.ENSP00000326806	1.0141987829614605	33.5708
MKNK1	9606.ENSP00000361014	1.0141987829614605	10.4623
RPS27A	9606.ENSP00000272317	1.015228426395939	527.985
EIF4EBP1	9606.ENSP00000340691	1.016260162601626	7.0702
BIRC2	9606.ENSP00000477613	1.016260162601626	12.3255
AMPH	9606.ENSP00000348602	1.016260162601626	5.87647
SQSTM1	9606.ENSP00000374455	1.016260162601626	28.5678
EIF4A3	9606.ENSP00000269349	1.016260162601626	22.1246
CHCHD6	9606.ENSP00000290913	1.016260162601626	8.81967
SLC6A3	9606.ENSP00000270349	1.017293997965412	34.67
AGT	9606.ENSP00000355627	1.0183299389002036	177.537
NOTCH3	9606.ENSP00000263388	1.0183299389002036	10.6373
MAPRE3	9606.ENSP00000233121	1.0183299389002036	67.0491
CAPZA2	9606.ENSP00000354947	1.0183299389002036	20.1877
EIF2S1	9606.ENSP00000256383	1.019367991845056	10.847
SNX9	9606.ENSP00000376024	1.019367991845056	13.9902
EIF4E2	9606.ENSP00000258416	1.019367991845056	10.3762
EIF3I	9606.ENSP00000362688	1.019367991845056	78.5845
PHB	9606.ENSP00000479488	1.019367991845056	62.4861
CDC5L	9606.ENSP00000360532	1.019367991845056	8.30004
GPR37	9606.ENSP00000306449	1.0204081632653061	36.1817
EIF3J	9606.ENSP00000261868	1.0214504596527068	35.094
SNAP91	9606.ENSP00000400459	1.0214504596527068	14.0884
ATP6V0D1	9606.ENSP00000290949	1.0214504596527068	54.8876
MARK2	9606.ENSP00000385751	1.0214504596527068	8.72448
SH3GL1	9606.ENSP00000269886	1.0214504596527068	13.9774
DYNC1LI1	9606.ENSP00000273130	1.0224948875255624	15.3205
DNM1	9606.ENSP00000362014	1.0224948875255624	28.0441
BECN1	9606.ENSP00000355231	1.0224948875255624	18.3588
RPS6	9606.ENSP00000369757	1.0224948875255624	510.486
BICD2	9606.ENSP00000349351	1.0224948875255624	7.58203
